"admin3Name","admin2Name","admin1Name","date","mean","stdDev","admin1Pcod","admin2Pcod","admin3Pcod"
"Aaba","El Koura","North",2023-10-01,2.14953,0.2150001,"LB5","LB54",32143
"Aaba","El Koura","North",2023-08-01,2.2182283,0.2675,"LB5","LB54",32143
"Aaba","El Koura","North",2024-08-01,2.1437139,0.2262501,"LB5","LB54",32143
"Aaba","El Koura","North",2018-07-01,3.9609297,0.3425001,"LB5","LB54",32143
"Aaba","El Koura","North",2022-08-01,1.2840702,0.12,"LB5","LB54",32143
"Aaba","El Koura","North",2024-04-01,2.1070661,0.385,"LB5","LB54",32143
"Aaba","El Koura","North",2024-02-01,1.8869421,0.1375,"LB5","LB54",32143
"Aaba","El Koura","North",2022-04-01,1.3390703,0.06375,"LB5","LB54",32143
"Aaba","El Koura","North",2023-01-01,1.2815238,0.1350001,"LB5","LB54",32143
"Aaba","El Koura","North",2019-04-01,4.0912708,0.4075,"LB5","LB54",32143
"Aaba","El Koura","North",2019-09-01,3.3150981,0.13625,"LB5","LB54",32143
"Aaba","El Koura","North",2020-05-01,3.8742873,0.44875,"LB5","LB54",32143
"Aaba","El Koura","North",2019-11-01,3.7804648,0.2824999,"LB5","LB54",32143
"Aaba","El Koura","North",2018-12-01,3.7722572,0.3012499,"LB5","LB54",32143
"Aaba","El Koura","North",2020-04-01,3.2281716,0.12375,"LB5","LB54",32143
"Aaba","El Koura","North",2022-09-01,1.4497676,0.165,"LB5","LB54",32143
"Aaba","El Koura","North",2022-12-01,1.1425103,0.00125,"LB5","LB54",32143
"Aaba","El Koura","North",2020-11-01,3.5243388,0.3487499,"LB5","LB54",32143
"Aaba","El Koura","North",2022-03-01,1.1410279,0.0525,"LB5","LB54",32143
"Aaba","El Koura","North",2022-01-01,1.7091942,0.0837499,"LB5","LB54",32143
"Aaba","El Koura","North",2018-11-01,3.1411105,0.05875,"LB5","LB54",32143
"Aaba","El Koura","North",2018-09-01,3.8895867,0.42625,"LB5","LB54",32143
"Aaba","El Koura","North",2022-10-01,1.3872108,0.07375,"LB5","LB54",32143
"Aaba","El Koura","North",2018-01-01,4.5852996,0.5175,"LB5","LB54",32143
"Aaba","El Koura","North",2024-07-01,2.3666787,0.21125,"LB5","LB54",32143
"Aaba","El Koura","North",2020-01-01,3.4006766,0.19875,"LB5","LB54",32143
"Aaba","El Koura","North",2024-01-01,2.3044164,0.1075,"LB5","LB54",32143
"Aaba","El Koura","North",2023-06-01,1.9515238,0.15875,"LB5","LB54",32143
"Aaba","El Koura","North",2018-05-01,5.1631507,0.43625,"LB5","LB54",32143
"Aaba","El Koura","North",2023-09-01,1.7489876,0.045,"LB5","LB54",32143
"Aaba","El Koura","North",2019-07-01,3.8973038,0.0025001,"LB5","LB54",32143
"Aaba","El Koura","North",2020-09-01,3.2208625,0.18625,"LB5","LB54",32143
"Aaba","El Koura","North",2023-05-01,1.9238533,0.07125,"LB5","LB54",32143
"Aaba","El Koura","North",2021-04-01,2.9681663,0.16875,"LB5","LB54",32143
"Aaba","El Koura","North",2019-06-01,4.2359143,0.30875,"LB5","LB54",32143
"Aaba","El Koura","North",2019-01-01,4.0997623,0.2675,"LB5","LB54",32143
"Aaba","El Koura","North",2020-12-01,3.7908214,0.3750001,"LB5","LB54",32143
"Aaba","El Koura","North",2019-02-01,4.0839773,0.1487499,"LB5","LB54",32143
"Aaba","El Koura","North",2019-08-01,3.8264205,0.14375,"LB5","LB54",32143
"Aaba","El Koura","North",2021-07-01,2.9842252,0.3187499,"LB5","LB54",32143
